claim_id,note,category
SYN-0062,"17 Dec: pan fire in bathroom, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $7,100.",PROPERTY_FIRE
SYN-0063,"15 Dec: escape of water from burst pipe in loft. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $5,600. Policyholder in situ.",PROPERTY_WATER
SYN-0064,"01 Sep: escape of water from burst pipe in bathroom. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $4,450. Policyholder in situ.",PROPERTY_WATER
SYN-0065,"06 Apr: customer Mrs Osei slipped on wet floor at insd showroom, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0066,"06 Dec: TP ran red light and struck insd nearside doors. Both drivers exchanged details, both confirmed uninjured at scene and on follow-up call. Doors and B-pillar, est $4,300. Pursuing recovery from TP insurer.",MOTOR_PD
SYN-0067,"27 Nov: pan fire in kitchen, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $3,650.",PROPERTY_FIRE
SYN-0068,"FNOL 14 Apr. Child caught fingers in door at insd warehouse unit; first aid given on site, parents attended A&E as precaution. Awaiting further contact from family.",LIABILITY_INJURY
SYN-0069,"21 Jan: multi-vehicle shunt on ring road. Insd driver Mrs Petrova attended A&E with wrist pain, discharged same day. Vehicle recovered, NSD front end. Awaiting engineer report and TP details.",MOTOR_BI
SYN-0070,"FNOL 13 Mar. Visitor tripped on raised paving at insd premises entrance (showroom). Fractured wrist confirmed. Solicitors letter of claim received, indemnity being reviewed.",LIABILITY_INJURY
SYN-0071,"20 May: escape of water from burst pipe in bathroom. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $4,750. Policyholder in situ.",PROPERTY_WATER
SYN-0072,"FNOL 23 Aug. Insd van vs bollard, front axle and radiator damage, repair est $3,550. Note added 14 Jul: passenger now reporting lower back pain since incident, physio referral. Update reserve.",MOTOR_BI
SYN-0073,"19 Oct: multi-vehicle shunt on ring road. Insd driver Mrs Osei attended A&E with wrist pain, discharged same day. Vehicle recovered, NSD front end. Awaiting engineer report and TP details.",MOTOR_BI
SYN-0074,"16 Jan. Low-speed car park contact with TP vehicle. Cosmetic scuffs only, $800. TP driver mentioned headache at scene and has since submitted whiplash claim via solicitors.",MOTOR_BI
SYN-0075,"FNOL 25 Jan. Insd saloon rear-ended by TP at traffic lights, Orchard Cl. Driver reports neck stiffness, GP visit booked. Rear bumper and boot damage, est $3,850. TP insurer notified.",MOTOR_BI
SYN-0076,"17 Aug: TP ran red light and struck insd nearside doors. Both drivers exchanged details, both confirmed uninjured at scene and on follow-up call. Doors and B-pillar, est $4,700. Pursuing recovery from TP insurer.",MOTOR_PD
SYN-0077,"Slow leak from kitchen pipework discovered during redecoration, 04 Aug. Joist damp readings high, trace and access cover confirmed. Drying regime 2-3 wks before reinstatement.",PROPERTY_WATER
SYN-0078,"Windscreen and bonnet damage from debris on motorway, 21 Oct. No other vehicle involved, no injury. Glass replaced $600, bonnet respray quoted.",MOTOR_PD
SYN-0079,"24 Jun: escape of water from burst pipe in bathroom. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $7,650. Policyholder in situ.",PROPERTY_WATER
SYN-0080,"21 Mar: escape of water from burst pipe in en-suite. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $2,800. Policyholder in situ.",PROPERTY_WATER
SYN-0081,"Slow leak from hallway pipework discovered during redecoration, 05 Jul. Joist damp readings high, trace and access cover confirmed. Drying regime 2-3 wks before reinstatement.",PROPERTY_WATER
SYN-0082,"18 Oct. Loose handrail at insd cafe gave way; member of public fell on stairs, head laceration, glasses broken. Handrail since repaired $150. Injury claim anticipated.",LIABILITY_INJURY
SYN-0083,"17 May. Low-speed car park contact with TP vehicle. Cosmetic scuffs only, $600. TP driver mentioned headache at scene and has since submitted whiplash claim via solicitors.",MOTOR_BI
SYN-0084,"FNOL 13 Aug. Insd hatchback reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $1,650. Excess applies.",MOTOR_PD
SYN-0085,"FNOL 03 Jan. Insd SUV reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $1,850. Excess applies.",MOTOR_PD
SYN-0086,"06 Oct: pan fire in bathroom, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $3,050.",PROPERTY_FIRE
SYN-0087,"11 Oct: customer Mr Brennan slipped on wet floor at insd gym, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0088,"FNOL 02 Mar. Visitor tripped on raised paving at insd premises entrance (supermarket). Fractured wrist confirmed. Solicitors letter of claim received, indemnity being reviewed.",LIABILITY_INJURY
SYN-0089,"Claim opened 18 Sep. Cyclist collision at junction of Orchard Cl. Cyclist sustained leg injury, ambulance attended. Insd hatchback minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
SYN-0090,"FNOL 27 Jun. Washing machine hose failed while insd away, water tracked through kitchen into hallway. Contents damage inc laminate and skirting. Leak detection attended, mains isolated.",PROPERTY_WATER
SYN-0091,"FNOL 18 Apr. Insd hatchback rear-ended by TP at traffic lights, Mill Lane. Driver reports neck stiffness, GP visit booked. Rear bumper and boot damage, est $1,300. TP insurer notified.",MOTOR_BI
SYN-0092,"01 Mar. Loose handrail at insd warehouse unit gave way; member of public fell on stairs, head laceration, glasses broken. Handrail since repaired $150. Injury claim anticipated.",LIABILITY_INJURY
SYN-0093,"Claim opened 06 Apr. Cyclist collision at junction of Orchard Cl. Cyclist sustained leg injury, ambulance attended. Insd hatchback minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
SYN-0094,"Garden outbuilding destroyed by fire 28 Dec, cause TBC, possible disposable BBQ. Fence panels and adjacent cladding heat damaged. No injuries. Est $14,700.",PROPERTY_FIRE
SYN-0095,"FNOL 02 Jul. Electrical fault in hallway caused localised fire. Fire service attended, property safe. Alternative accommodation arranged 2 wks. Loss adjuster instructed.",PROPERTY_FIRE
SYN-0096,"FNOL 26 Feb. Smoke logging from neighbouring property fire entered insd home via open windows. No flame damage to insd risk; soot deposits on soft furnishings, specialist clean required.",PROPERTY_FIRE
SYN-0097,"18 Nov: customer Ms Reyes slipped on wet floor at insd hotel lobby, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0098,"Windscreen and bonnet damage from debris on motorway, 05 Apr. No other vehicle involved, no injury. Glass replaced $600, bonnet respray quoted.",MOTOR_PD
SYN-0099,"20 Jul: pan fire in en-suite, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $3,250.",PROPERTY_FIRE
SYN-0100,"08 Mar: escape of water from burst pipe in loft. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $6,750. Policyholder in situ.",PROPERTY_WATER
SYN-0101,"Slow leak from bathroom pipework discovered during redecoration, 11 Mar. Joist damp readings high, trace and access cover confirmed. Drying regime 2-3 wks before reinstatement.",PROPERTY_WATER
SYN-0102,"FNOL 24 Nov. Washing machine hose failed while insd away, water tracked through hallway into hallway. Contents damage inc laminate and skirting. Leak detection attended, mains isolated.",PROPERTY_WATER
SYN-0103,"FNOL 13 Dec. Electrical fault in kitchen caused localised fire. Fire service attended, property safe. Alternative accommodation arranged 2 wks. Loss adjuster instructed.",PROPERTY_FIRE
SYN-0104,"FNOL 07 Oct. Pipe burst adjacent to fireplace chimney breast in bathroom; plaster and hearth surround water damaged. No fire involved. Est $4,200.",PROPERTY_WATER
SYN-0105,"01 May. Low-speed car park contact with TP vehicle. Cosmetic scuffs only, $850. TP driver mentioned headache at scene and has since submitted whiplash claim via solicitors.",MOTOR_BI
SYN-0106,"05 Jul: escape of water from burst pipe in bathroom. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $4,400. Policyholder in situ.",PROPERTY_WATER
SYN-0107,"FNOL 16 Aug. Washing machine hose failed while insd away, water tracked through hallway into hallway. Contents damage inc laminate and skirting. Leak detection attended, mains isolated.",PROPERTY_WATER
SYN-0108,"Garden outbuilding destroyed by fire 06 Oct, cause TBC, possible disposable BBQ. Fence panels and adjacent cladding heat damaged. No injuries. Est $14,550.",PROPERTY_FIRE
SYN-0109,"08 May: multi-vehicle shunt on ring road. Insd driver Mrs Osei attended A&E with wrist pain, discharged same day. Vehicle recovered, NSD front end. Awaiting engineer report and TP details.",MOTOR_BI
SYN-0110,"Delivery driver struck by falling stock in insd showroom storeroom, 06 Mar. Shoulder injury, off work. RIDDOR reportable. Reserve for GD and specials.",LIABILITY_INJURY
SYN-0111,"FNOL 18 Oct. Visitor tripped on raised paving at insd premises entrance (supermarket). Fractured wrist confirmed. Solicitors letter of claim received, indemnity being reviewed.",LIABILITY_INJURY
SYN-0112,"FNOL 22 Oct. Child caught fingers in door at insd cafe; first aid given on site, parents attended A&E as precaution. Awaiting further contact from family.",LIABILITY_INJURY
SYN-0113,"23 Oct: TP ran red light and struck insd nearside doors. Both drivers exchanged details, both confirmed uninjured at scene and on follow-up call. Doors and B-pillar, est $5,000. Pursuing recovery from TP insurer.",MOTOR_PD
SYN-0114,"Windscreen and bonnet damage from debris on motorway, 12 Jul. No other vehicle involved, no injury. Glass replaced $700, bonnet respray quoted.",MOTOR_PD
SYN-0115,"10 Sep. Loose handrail at insd supermarket gave way; member of public fell on stairs, head laceration, glasses broken. Handrail since repaired $350. Injury claim anticipated.",LIABILITY_INJURY
SYN-0116,"FNOL 09 Jun. Washing machine hose failed while insd away, water tracked through hallway into hallway. Contents damage inc laminate and skirting. Leak detection attended, mains isolated.",PROPERTY_WATER
SYN-0117,"FNOL 24 Mar. Washing machine hose failed while insd away, water tracked through en-suite into hallway. Contents damage inc laminate and skirting. Leak detection attended, mains isolated.",PROPERTY_WATER
SYN-0118,"FNOL 20 Jul. Electrical fault in bathroom caused localised fire. Fire service attended, property safe. Alternative accommodation arranged 2 wks. Loss adjuster instructed.",PROPERTY_FIRE
SYN-0119,"15 Oct. Water ingress from flat above (their en-suite overflow). Insd ceiling stained and light fitting affected. Recovery against upstairs policy to be considered, est $2,550.",PROPERTY_WATER
SYN-0120,"15 Apr. Low-speed car park contact with TP vehicle. Cosmetic scuffs only, $350. TP driver mentioned headache at scene and has since submitted whiplash claim via solicitors.",MOTOR_BI
SYN-0121,"FNOL 25 Aug. Insd hatchback rear-ended by TP at traffic lights, Cedar Ct. Driver reports neck stiffness, GP visit booked. Rear bumper and boot damage, est $3,350. TP insurer notified.",MOTOR_BI
SYN-0122,"14 Jul. Low-speed car park contact with TP vehicle. Cosmetic scuffs only, $700. TP driver mentioned headache at scene and has since submitted whiplash claim via solicitors.",MOTOR_BI
SYN-0123,"Delivery driver struck by falling stock in insd supermarket storeroom, 05 Jan. Shoulder injury, off work. RIDDOR reportable. Reserve for GD and specials.",LIABILITY_INJURY
SYN-0124,"Garden outbuilding destroyed by fire 14 May, cause TBC, possible disposable BBQ. Fence panels and adjacent cladding heat damaged. No injuries. Est $10,500.",PROPERTY_FIRE
SYN-0125,"Claim opened 27 Apr. Cyclist collision at junction of Station Pde. Cyclist sustained leg injury, ambulance attended. Insd pickup minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
SYN-0126,"14 Sep: pan fire in hallway, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $4,300.",PROPERTY_FIRE
SYN-0127,"28 Dec. Small fire in loft extinguished by sprinkler activation. Fire damage limited, but water from suppression affected stock and flooring below. Combined est $9,050. Treat as single fire loss.",PROPERTY_FIRE
SYN-0128,"07 Aug: TP ran red light and struck insd nearside doors. Both drivers exchanged details, both confirmed uninjured at scene and on follow-up call. Doors and B-pillar, est $3,700. Pursuing recovery from TP insurer.",MOTOR_PD
SYN-0129,"03 Aug: pan fire in utility room, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $5,100.",PROPERTY_FIRE
SYN-0130,"21 Mar. Small fire in en-suite extinguished by sprinkler activation. Fire damage limited, but water from suppression affected stock and flooring below. Combined est $7,200. Treat as single fire loss.",PROPERTY_FIRE
SYN-0131,"26 Jul. Small fire in kitchen extinguished by sprinkler activation. Fire damage limited, but water from suppression affected stock and flooring below. Combined est $12,800. Treat as single fire loss.",PROPERTY_FIRE
SYN-0132,"21 Dec: customer Ms Kowalski slipped on wet floor at insd cafe, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0133,"09 Aug: customer Mr Nakamura slipped on wet floor at insd cafe, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0134,"07 Nov. Water ingress from flat above (their loft overflow). Insd ceiling stained and light fitting affected. Recovery against upstairs policy to be considered, est $1,200.",PROPERTY_WATER
SYN-0135,"24 Jun: pan fire in hallway, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $4,650.",PROPERTY_FIRE
SYN-0136,"Claim opened 11 Mar. Cyclist collision at junction of Elm Ave. Cyclist sustained leg injury, ambulance attended. Insd pickup minor wing damage. Liability under investigation, injury reserve to be set.",MOTOR_BI
SYN-0137,"FNOL 14 Jan. Visitor tripped on raised paving at insd premises entrance (hotel lobby). Fractured wrist confirmed. Solicitors letter of claim received, indemnity being reviewed.",LIABILITY_INJURY
SYN-0138,"Delivery driver struck by falling stock in insd warehouse unit storeroom, 07 Sep. Shoulder injury, off work. RIDDOR reportable. Reserve for GD and specials.",LIABILITY_INJURY
SYN-0139,"FNOL 05 Feb. Electrical fault in kitchen caused localised fire. Fire service attended, property safe. Alternative accommodation arranged 2 wks. Loss adjuster instructed.",PROPERTY_FIRE
SYN-0140,"09 Oct. Insd estate aquaplaned and left carriageway into hedge. Airbags deployed, vehicle likely total loss $11,200. Driver checked by paramedics at scene, no injuries reported, declined hospital.",MOTOR_PD
SYN-0141,"FNOL 27 Nov. Electrical fault in en-suite caused localised fire. Fire service attended, property safe. Alternative accommodation arranged 2 wks. Loss adjuster instructed.",PROPERTY_FIRE
SYN-0142,"FNOL 05 Nov. Electrical fault in bathroom caused localised fire. Fire service attended, property safe. Alternative accommodation arranged 2 wks. Loss adjuster instructed.",PROPERTY_FIRE
SYN-0143,"20 Feb: customer Ms Kowalski slipped on wet floor at insd gym, no wet floor sign per CCTV. Ankle injury, taken to hospital. Incident book completed, EL/PL claim expected.",LIABILITY_INJURY
SYN-0144,"13 Oct: pan fire in en-suite, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $5,700.",PROPERTY_FIRE
SYN-0145,"FNOL 27 Dec. Insd estate reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $1,750. Excess applies.",MOTOR_PD
SYN-0146,"Garden outbuilding destroyed by fire 20 Jun, cause TBC, possible disposable BBQ. Fence panels and adjacent cladding heat damaged. No injuries. Est $5,750.",PROPERTY_FIRE
SYN-0147,"04 Jun. Loose handrail at insd gym gave way; member of public fell on stairs, head laceration, glasses broken. Handrail since repaired $150. Injury claim anticipated.",LIABILITY_INJURY
SYN-0148,"Windscreen and bonnet damage from debris on motorway, 27 Oct. No other vehicle involved, no injury. Glass replaced $700, bonnet respray quoted.",MOTOR_PD
SYN-0149,"18 Oct: escape of water from burst pipe in bathroom. Ceiling below collapsed, flooring lifted. Dehumidifiers on site, strip-out quote $5,600. Policyholder in situ.",PROPERTY_WATER
SYN-0150,"FNOL 27 Aug. Insd hatchback reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $950. Excess applies.",MOTOR_PD
SYN-0151,"07 Aug: pan fire in loft, extinguished by insd before brigade arrival. Smoke damage throughout ground floor, cabinetry scorched. Cleaning and redecoration est $5,250.",PROPERTY_FIRE
SYN-0152,"FNOL 12 Jul. Insd hatchback vs bollard, front axle and radiator damage, repair est $5,600. Note added 03 Mar: passenger now reporting lower back pain since incident, physio referral. Update reserve.",MOTOR_BI
SYN-0153,"FNOL 05 Apr. Flood water on Station Pde ingressed insd van footwells, electrics fault. No occupants at time, no injury. Engineer to assess, est $3,050.",MOTOR_PD
SYN-0154,"FNOL 16 Jun. Insd van reversed into gatepost at home address. Rear panel dented, no injuries, no TP. Repair est $1,800. Excess applies.",MOTOR_PD
